10.100.101.9	5466
10.100.102.134	80
10.100.102.134	80
10.100.102.134	80
10.100.102.201	22
10.100.102.201	22
10.100.102.201	22
10.100.102.134	80
10.100.101.201	22
10.100.101.202	22
10.100.101.203	22
10.100.101.253	22
10.100.102.201	22
10.100.102.202	22
10.100.102.253	22
10.100.102.203	22
10.100.101.201	22
10.100.101.203	22
10.100.101.202	22
10.100.102.203	22
10.100.102.201	22
10.100.102.202	22
10.100.101.253	22
10.100.102.253	22
10.100.101.201	22
10.100.101.203	22
10.100.101.202	22
10.100.102.203	22
10.100.102.202	22
10.100.102.201	22
10.100.101.253	22
10.100.102.253	22
10.100.101.9	5466
10.100.101.201	443
10.100.102.202	10.1.3.20
10.100.102.202	10.224.175.132	443
10.100.102.202	10.224.175.132	443
10.100.101.203	22
10.100.101.201	22
10.100.101.105	22
10.100.101.11	80
10.100.101.20	22
10.100.101.20	80
10.100.101.201	22
10.100.101.201	80
10.100.101.202	21
10.100.101.202	22
10.100.101.203	25
10.100.101.203	22
10.100.101.203	22
10.100.101.253	22
10.100.101.253	80
10.100.101.9	21
10.100.101.9	3389
10.100.101.9	445
10.100.101.203	80
10.100.102.105	22
10.100.102.11	80
10.100.102.20	22
10.100.102.20	80
10.100.102.201	22
10.100.102.201	80
10.100.102.202	21
10.100.102.202	22
10.100.102.203	25
10.100.102.253	22
10.100.102.202	80
10.100.102.9	3389
10.100.102.9	445
10.100.102.203	80
10.100.102.201	22
10.100.102.253	80
10.100.102.9	21
10.100.101.203	80
10.100.102.203	80
10.100.101.253	80
10.100.102.253	80
10.100.101.201	22
10.100.102.201	22
10.100.101.202	22
